Participant ID,Trial no,Target Color,Dist1,Dist2,Response,Accuracy
4,68,"(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.3359375, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1
4,69,"(0.0234375, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",right,1
4,70,"(0.1015625, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,0
4,71,"(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)",left,1
4,72,"(0.2578125, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,1
4,73,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)",right,1
4,74,"(-0.21259842519685046, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)",right,1
4,75,"(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.1796875, -1.0)",left,1
4,76,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, -0.055118110236220486)",right,1
4,77,"(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.2578125)",right,1
4,78,"(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1796875)",right,1
4,79,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",left,1
4,80,"(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.1796875)",left,0
4,81,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",right,1
4,82,"(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",right,1
4,83,"(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)",left,1
4,84,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.2578125, -1.0)",left,0
4,85,"(-1.0, -0.6062992125984252, -0.13385826771653542)","(-1.0, -0.6062992125984252, -0.13385826771653542)","(-1.0, -0.6062992125984252, 0.1796875)",left,1
4,86,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.2578125)",left,1
4,87,"(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",left,1
4,88,"(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)",right,0
4,89,"(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.3359375)","(-1.0, -0.6062992125984252, 0.0234375)",left,1
4,90,"(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.0234375)",left,1
4,91,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)",right,1
4,92,"(0.0234375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)",left,1
4,93,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.2578125, -1.0)",left,1
4,94,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",right,1
4,95,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.0234375, -1.0)",right,0
4,96,"(0.1796875, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",left,1
4,97,"(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)",left,1
4,98,"(0.1015625, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)",left,1
4,99,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)",left,0
4,100,"(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)",right,0
4,101,"(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, 0.1796875)",right,1
4,102,"(0.0234375, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",right,1
4,103,"(0.0234375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,0
4,104,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",right,1
4,105,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1
4,106,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1
4,107,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",left,0
4,108,"(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, 0.0234375, -1.0)",left,1
4,109,"(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)",right,1
4,110,"(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, -0.21259842519685046)","(-1.0, -0.6062992125984252, 0.1015625)",right,0
4,111,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, 0.1796875)",left,1
4,112,"(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)",right,1
4,113,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.1015625)",left,1
4,114,"(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.2578125)",right,0
4,115,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, -0.21259842519685046)",left,1
4,116,"(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.2578125)","(-1.0, -0.6062992125984252, 0.1015625)",left,1
4,117,"(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.1015625)","(0.1796875, -0.21259842519685046, 0.2578125)",left,1
4,118,"(0.1796875, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)",right,1
4,119,"(0.7265625, 0.1015625, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.1015625, -1.0)",right,1
4,120,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.21259842519685046)",left,1
4,121,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, 0.2578125)",left,1
4,122,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.2578125)","(0.1796875, -0.21259842519685046, -0.055118110236220486)",right,1
4,123,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.0234375, -1.0)",left,1
4,124,"(-0.13385826771653542, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)",left,0
4,125,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, -0.21259842519685046, -1.0)",right,1
4,126,"(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.1796875)","(-1.0, -0.6062992125984252, 0.1015625)",left,1
4,127,"(-0.13385826771653542, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)",right,1
4,128,"(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)","(-0.21259842519685046, 0.2578125, -1.0)",left,1
4,129,"(0.0234375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)",left,1
4,130,"(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)",left,1
4,131,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1015625, -1.0)","(0.7265625, -0.21259842519685046, -1.0)",left,1
4,132,"(0.1015625, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(0.1015625, -1.0, -0.7637795275590551)",right,1
4,133,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.3359375, -1.0)","(0.7265625, 0.2578125, -1.0)",left,0
4,134,"(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, -0.055118110236220486)","(0.1796875, -0.21259842519685046, 0.0234375)",left,1
4,135,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.1015625)",left,1
4,136,"(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, 0.1796875, -1.0)",left,1
4,137,"(0.1796875, -0.21259842519685046, -0.13385826771653542)","(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",right,1
4,138,"(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1
4,139,"(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",right,1
4,140,"(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.1796875)",left,1
4,141,"(-1.0, -0.6062992125984252, -0.13385826771653542)","(-1.0, -0.6062992125984252, -0.13385826771653542)","(-1.0, -0.6062992125984252, -0.055118110236220486)",left,1
4,142,"(0.2578125, -1.0, -0.7637795275590551)","(-0.13385826771653542, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)",right,1
4,143,"(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.2578125, -1.0)","(0.7265625, 0.1796875, -1.0)",left,1
4,144,"(0.0234375, -1.0, -0.7637795275590551)","(0.3359375, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",right,1
4,145,"(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)",left,1
4,146,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, -0.13385826771653542)",left,1
4,147,"(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.0234375, -1.0)","(0.7265625, 0.3359375, -1.0)",left,1
4,148,"(0.7265625, 0.3359375, -1.0)","(0.7265625, -0.055118110236220486, -1.0)","(0.7265625, 0.3359375, -1.0)",left,0
4,149,"(0.2578125, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)",left,1
4,150,"(-0.055118110236220486, -1.0, -0.7637795275590551)","(-0.21259842519685046, -1.0, -0.7637795275590551)","(-0.055118110236220486, -1.0, -0.7637795275590551)",right,1
4,151,"(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, -0.21259842519685046, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)",left,1
4,152,"(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, -0.21259842519685046, -1.0)",left,1
4,153,"(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.21259842519685046, -1.0)","(0.7265625, -0.13385826771653542, -1.0)",left,1
4,154,"(0.7265625, 0.1015625, -1.0)","(0.7265625, 0.1796875, -1.0)","(0.7265625, 0.1015625, -1.0)",left,0
4,155,"(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.21259842519685046)","(0.1796875, -0.21259842519685046, -0.055118110236220486)",left,1
4,156,"(0.7265625, 0.3359375, -1.0)","(0.7265625, -0.13385826771653542, -1.0)","(0.7265625, 0.3359375, -1.0)",left,0
4,157,"(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, -0.055118110236220486)","(-1.0, -0.6062992125984252, 0.1015625)",left,1
4,158,"(0.1796875, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)","(0.1796875, -1.0, -0.7637795275590551)",right,1
4,159,"(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.1015625, -1.0)",left,1
4,160,"(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.0234375)","(-1.0, -0.6062992125984252, 0.1796875)",left,1
4,161,"(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, -0.13385826771653542, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)",left,1
4,162,"(0.1796875, -0.21259842519685046, 0.0234375)","(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.0234375)",right,1
4,163,"(0.1796875, -0.21259842519685046, 0.3359375)","(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.3359375)",right,1
4,164,"(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.3359375, -1.0)","(-0.21259842519685046, 0.1796875, -1.0)",left,1
4,165,"(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, -0.055118110236220486, -1.0)","(-0.21259842519685046, 0.0234375, -1.0)",left,1
4,166,"(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.1796875)","(0.1796875, -0.21259842519685046, 0.0234375)",left,1
4,167,"(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, 0.1015625)","(-1.0, -0.6062992125984252, -0.055118110236220486)",left,1
4,168,"(0.2578125, -1.0, -0.7637795275590551)","(0.2578125, -1.0, -0.7637795275590551)","(0.0234375, -1.0, -0.7637795275590551)",left,1
